problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-043,43,계수와 두 일차식의 곱·곱셈 공식 종합,M3_POLY_PT006|M3_POLY_PT007|M3_POLY_PT008|M3_POLY_PT030|M3_POLY_PT031|M3_POLY_PT032|M3_POLY_PT038|M3_POLY_PT039|M3_POLY_PT040,all_existing_canonical_types_matched
044-060,17,수의 곱·복잡한 수·분모의 유리화,M3_POLY_PT058|M3_POLY_PT064|M3_POLY_PT074|M3_POLY_PT075|M3_POLY_PT076,all_existing_canonical_types_matched
061-084,24,합·차·곱 조건의 식의 값과 식 정리,M3_POLY_PT082|M3_POLY_PT083|M3_POLY_PT084|M3_POLY_PT090|M3_POLY_PT091|M3_POLY_PT092,all_existing_canonical_types_matched
085-098,14,완전제곱식·근호식·치환 인수분해,M3_POLY_PT112|M3_POLY_PT113|M3_POLY_PT116|M3_POLY_PT157|M3_POLY_PT158,all_existing_canonical_types_matched
099-123,25,인수분해 공식을 이용한 수의 계산,M3_POLY_PT181|M3_POLY_PT182|M3_POLY_PT184|M3_POLY_PT185,all_existing_canonical_types_matched
124-135,12,문자의 값이 주어진 인수분해식의 값,M3_POLY_PT187|M3_POLY_PT188,all_existing_canonical_types_matched
136-150,15,식의 조건이 주어진 인수분해식의 값,M3_POLY_PT188,all_existing_canonical_types_matched
