seq_in_batch,catalog_no,book_uid,title,author,publisher,detail_page_start,status
1,141,booksrc_0141,20세기 수학의 다섯가지 황금률,존 L. 캐스티,경문사,12,pending_detail
2,142,booksrc_0142,감시와 처벌,미셸 푸코,나남,15,pending_detail
3,143,booksrc_0143,건건록,무스 무네비스,논형,18,pending_detail
4,144,booksrc_0144,계몽의 변증법,아도르노 외,문화과지성사,21,pending_detail
5,145,booksrc_0145,고백록,아우구스티누스,집문당,24,pending_detail
6,146,booksrc_0146,공공선택론,김성준,박영사,27,pending_detail
7,147,booksrc_0147,공학이란 무엇인가,성풍현 외,살림Friends,30,pending_detail
8,148,booksrc_0148,국가론,키케로,부북스,33,pending_detail
9,149,booksrc_0149,군주론,마키아벨리,돋을새김,36,pending_detail
10,150,booksrc_0150,꿈의 해석,지그문트 프로이트,열린책들,39,pending_detail
11,151,booksrc_0151,넛지,리처드 탈러,리더스북,42,pending_detail
12,152,booksrc_0152,니코마코스 윤리학,아리스토텔레스,길,45,pending_detail
13,153,booksrc_0153,데카메론,보카치오,살림,48,pending_detail
14,154,booksrc_0154,돈키호테,세르반테스,시공사,51,pending_detail
15,155,booksrc_0155,디자인 인문학,최경원,허밍버드,54,pending_detail
16,156,booksrc_0156,리바이어던,토마스 홉스,나남,57,pending_detail
17,157,booksrc_0157,마의 산,토마스 만,을유문화사,60,pending_detail
18,158,booksrc_0158,멋진 신세계,올더스 헉슬리,문예출판사,63,pending_detail
19,159,booksrc_0159,문명의 충돌,새뮤얼 헌팅턴,김영사,66,pending_detail
20,160,booksrc_0160,물질문명과 자본주의,페르낭 브로델,까치글방,69,pending_detail
21,161,booksrc_0161,"미스터, 나이팅게일",문광기,김영사,72,pending_detail
22,162,booksrc_0162,방법서설,르네 데카르트,돋을새김,75,pending_detail
23,163,booksrc_0163,백석시전집,백석,흰당나귀,78,pending_detail
24,164,booksrc_0164,"분배냐, 인정이냐?",낸시 프레이저,사월의책,81,pending_detail
25,165,booksrc_0165,사기열전,사마천,민음사,84,pending_detail
26,166,booksrc_0166,사피엔스,유발 하라리,김영사,87,pending_detail
27,167,booksrc_0167,삼대,염상섭,문학과지성사,90,pending_detail_overlap_title
28,168,booksrc_0168,선량한 차별주의자,김지혜,창비,93,pending_detail
29,169,booksrc_0169,성학십도,퇴계 이황,아르테,96,pending_detail
30,170,booksrc_0170,소비의 사회,장 보드리야르,문예출판사,99,pending_detail
31,171,booksrc_0171,시간의 역사,스티븐 호킹,까치,102,pending_detail
32,172,booksrc_0172,신곡,단테,민음사,105,pending_detail
33,173,booksrc_0173,실천이성비판,임마누엘 칸트,아카넷,108,pending_detail
34,174,booksrc_0174,아리랑,님 웨일즈 외,동녘,111,pending_detail
35,175,booksrc_0175,악의 꽃,샤를 보들레르,난다,114,pending_detail
36,176,booksrc_0176,양명학연론,정인보,살림출판사,117,pending_detail
37,177,booksrc_0177,에밀,장 자크 루소,돋을새김,120,pending_detail
38,178,booksrc_0178,역사란 무엇인가,E.H. 카,까치글방,123,pending_detail
39,179,booksrc_0179,연금술사,파울로 코엘료,문학동네,126,pending_detail
40,180,booksrc_0180,오만과 편견,제인 오스틴,민음사,129,pending_detail
41,181,booksrc_0181,욕망 이론,자크 라캉,문예출판사,132,pending_detail
42,182,booksrc_0182,우리는 왜 개는 사랑하고 돼지는 먹고 소는 신을까,멜라니 조이,모멘토,135,pending_detail
43,183,booksrc_0183,위대한 유산,찰스 디킨스,푸른숲,138,pending_detail
44,184,booksrc_0184,의사 지바고,보리스 빠스테르나크,창비,141,pending_detail
45,185,booksrc_0185,"의학, 인문학으로 치유하다",예병일,한국문학사,144,pending_detail
46,186,booksrc_0186,이반 데니소비치의 하루,솔제니찐,문예출판사,147,pending_detail
47,187,booksrc_0187,이중나선,제임스 왓슨,궁리출판,150,pending_detail
48,188,booksrc_0188,인간실격,다자이 오사무,민음사,153,pending_detail
