catalog_no,book_uid,title,title_normalized,author,publisher,source_batch,status,source_path
53,booksrc_0053,이기적 유전자,이기적유전자,리처드 도킨스,을유문화사,legacy_70_seed_migration,active,source/books/0053.json
54,booksrc_0054,이상한 나라의 앨리스,이상한나라의앨리스,김희경,동아시아,legacy_70_seed_migration,active,source/books/0054.json
55,booksrc_0055,인간 문제,인간문제,강경애,새움,legacy_70_seed_migration,active,source/books/0055.json
56,booksrc_0056,인물로 읽는 장자,인물로읽는장자,왕샤오졔,나들목,legacy_70_seed_migration,active,source/books/0056.json
57,booksrc_0057,잃어버린 시간을 찾아서,잃어버린시간을찾아서,마르셀 프루스트,국일미디어,legacy_70_seed_migration,active,source/books/0057.json
58,booksrc_0058,자유론,자유론,존 스튜어트 밀,현대지성,legacy_70_seed_migration,active,source/books/0058.json
59,booksrc_0059,젊은 예술가의 초상,젊은예술가의초상,제임스 조이스,민음사,legacy_70_seed_migration,active,source/books/0059.json
60,booksrc_0060,정신현상학,정신현상학,G.W.F. 헤겔,아카넷,legacy_70_seed_migration,active,source/books/0060.json
61,booksrc_0061,정지용전집,정지용전집,정지용,민음사,legacy_70_seed_migration,active,source/books/0061.json
62,booksrc_0062,제국의 시대,제국의시대,에릭 홉스봄,한길사,legacy_70_seed_migration,active,source/books/0062.json
63,booksrc_0063,종의 기원,종의기원,찰스 로버트 다윈,사이언스북스,legacy_70_seed_migration,active,source/books/0063.json
64,booksrc_0064,죽은 시인의 사회,죽은시인의사회,N.H. 클라인바움,서교출판사,legacy_70_seed_migration,active,source/books/0064.json
65,booksrc_0065,짜라투스트라는 이렇게 말했다,짜라투스트라는이렇게말했다,프리드리히 니체,홍신문화사,legacy_70_seed_migration,active,source/books/0065.json
66,booksrc_0066,천변풍경,천변풍경,박태원,애플북스,legacy_70_seed_migration,active,source/books/0066.json
67,booksrc_0067,치과의사가 말하는 치과의사,치과의사가말하는치과의사,안현세 외,부키,legacy_70_seed_migration,active,source/books/0067.json
68,booksrc_0068,카라마조프가의 형제들,카라마조프가의형제들,표도르 도스토예프스키,민음사,legacy_70_seed_migration,active,source/books/0068.json
69,booksrc_0069,카오스,카오스,제임스 글릭,동아시아,legacy_70_seed_migration,active,source/books/0069.json
70,booksrc_0070,코스모스,코스모스,칼 세이건,사이언스북스,legacy_70_seed_migration,active,source/books/0070.json
71,booksrc_0071,간디 자서전,간디자서전,마하트마 간디,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0071.json
72,booksrc_0072,"갈기도 하고, 아니 갈기도 하고",갈기도하고아니갈기도하고,로얼드 호프만,까치,book3_allinone3_toc_append_v1,pending_detail,source/books/0072.json
73,booksrc_0073,검찰관,검찰관,니꼴라이 고골,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0073.json
74,booksrc_0074,고도를 기다리며,고도를기다리며,베케트,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0074.json
75,booksrc_0075,"고용, 이자 및 화폐의 일반이론",고용이자및화폐의일반이론,J. M. 케인스,비봉출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0075.json
76,booksrc_0076,과학 혁명의 구조,과학혁명의구조,토마스 쿤,까치,book3_allinone3_toc_append_v1,pending_detail,source/books/0076.json
77,booksrc_0077,구운몽,구운몽,김만중,문학동네,book3_allinone3_toc_append_v1,pending_detail,source/books/0077.json
78,booksrc_0078,국부론,국부론,애덤 스미스,현대지성,book3_allinone3_toc_append_v1,pending_detail,source/books/0078.json
79,booksrc_0079,그람시의 옥중수고,그람시의옥중수고,안토니오 그람시,거름,book3_allinone3_toc_append_v1,pending_detail,source/books/0079.json
80,booksrc_0080,금오신화,금오신화,김시습,돌베개,book3_allinone3_toc_append_v1,pending_detail,source/books/0080.json
81,booksrc_0081,"나는 간호사, 사람입니다",나는간호사사람입니다,김현아,아몬드,book3_allinone3_toc_append_v1,pending_detail,source/books/0081.json
82,booksrc_0082,논어,논어,공자,홍익,book3_allinone3_toc_append_v1,pending_detail,source/books/0082.json
83,booksrc_0083,다정한 것이 살아남는다,다정한것이살아남는다,브라이언 헤어,디플롯,book3_allinone3_toc_append_v1,pending_detail,source/books/0083.json
84,booksrc_0084,대한민국의 시험,대한민국의시험,이혜정,다산4.0,book3_allinone3_toc_append_v1,pending_detail,source/books/0084.json
85,booksrc_0085,도덕적 인간과 비도덕적 사회,도덕적인간과비도덕적사회,라인홀드 니버,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0085.json
86,booksrc_0086,동물들의 인간 심판,동물들의인간심판,호세 안토니오 야우레기,책공장더불어,book3_allinone3_toc_append_v1,pending_detail,source/books/0086.json
87,booksrc_0087,팁스,팁스,버니니아 M. 액슬린,샘터,book3_allinone3_toc_append_v1,pending_detail,source/books/0087.json
88,booksrc_0088,말테의 수기,말테의수기,라이너 마리아 릴케,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0088.json
89,booksrc_0089,모비딕,모비딕,허먼 멜빌,작가정신,book3_allinone3_toc_append_v1,pending_detail,source/books/0089.json
90,booksrc_0090,문명화 과정,문명화과정,노르베르트 엘리아스,한길사,book3_allinone3_toc_append_v1,pending_detail,source/books/0090.json
91,booksrc_0091,미국의 민주주의,미국의민주주의,일렉시스 드 토크빌,한길사,book3_allinone3_toc_append_v1,pending_detail,source/books/0091.json
92,booksrc_0092,미움받을 용기,미움받을용기,기시미 이치로,인플루엔셜,book3_allinone3_toc_append_v1,pending_detail,source/books/0092.json
93,booksrc_0093,백년 동안의 고독,백년동안의고독,G. 마르케스,문학사상,book3_allinone3_toc_append_v1,pending_detail,source/books/0093.json
94,booksrc_0094,법의 정신,법의정신,몽테스키외,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0094.json
95,booksrc_0095,변신이야기,변신이야기,오비디우스,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0095.json
96,booksrc_0096,보바리 부인,보바리부인,귀스타브 플로베르,문예출판사,book3_allinone3_toc_append_v1,pending_detail,source/books/0096.json
97,booksrc_0097,비통한 자들을 위한 정치학,비통한자들을위한정치학,파커 J. 파머,글항아리,book3_allinone3_toc_append_v1,pending_detail,source/books/0097.json
98,booksrc_0098,"사람, 장소, 환대",사람장소환대,김현경,문학과지성사,book3_allinone3_toc_append_v1,pending_detail,source/books/0098.json
99,booksrc_0099,사회계약론,사회계약론,장 자크 루소,서울대학교출판문화원,book3_allinone3_toc_append_v1,pending_detail,source/books/0099.json
